file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,143,css,21c1e4a8,lseseri,2025-01-16,18:49:50,-08:00,2025-01-16T18:49:50-08:00,0,26
style.css,144,css,21c1e4a8,lseseri,2025-01-16,18:49:50,-08:00,2025-01-16T18:49:50-08:00,0,18
style.css,145,css,2301ff0e,lseseri,2025-01-15,21:25:44,-08:00,2025-01-15T21:25:44-08:00,0,0
style.css,146,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,0
style.css,147,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,14
style.css,148,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,18
style.css,149,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,9
style.css,150,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,13
style.css,151,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,14
style.css,152,css,d0ee1137,lseseri,2025-01-22,23:25:06,-08:00,2025-01-22T23:25:06-08:00,0,20
style.css,153,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,0
style.css,154,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,0
style.css,155,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,14
style.css,156,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,13
style.css,157,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,37
style.css,158,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,16
style.css,159,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,0
style.css,160,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,17
style.css,161,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,14
style.css,162,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,11
style.css,163,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,17
style.css,164,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,0
style.css,165,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,17
style.css,166,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,14
style.css,167,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,11
style.css,168,css,28e25bfe,lseseri,2025-01-30,18:24:57,-08:00,2025-01-30T18:24:57-08:00,0,17
style.css,169,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,0
style.css,170,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,0
style.css,171,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,19
style.css,172,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,15
style.css,173,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,17
style.css,174,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,0
style.css,175,css,857677d4,lseseri,2025-02-05,23:47:32,-08:00,2025-02-05T23:47:32-08:00,0,17
style.css,176,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,0
style.css,177,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,0
style.css,178,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,8
style.css,179,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,13
style.css,180,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,58
style.css,181,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,8
style.css,182,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,12
style.css,183,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,15
style.css,184,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,44
style.css,185,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,16
style.css,186,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,17
style.css,187,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,7
style.css,188,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,0
style.css,189,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,13
style.css,190,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,13
style.css,191,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,19
style.css,192,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,10
style.css,193,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,0
style.css,194,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,8
style.css,195,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,21
style.css,196,css,d5cb417a,lseseri,2025-02-06,00:40:27,-08:00,2025-02-06T00:40:27-08:00,0,10
